StatID,MatchID,PlayerID,MinutesPlayed,DistanceCoveredKM,Sprints,AvgHeartRate,MaxSpeedKMH,PassAccuracyPct,ShotsOnTarget,Tackles,Fouls,YellowCards,RedCards,MatchRating
1,1,7,74,9.32,28,155,33.58,79.51,0,1,1,0,0,7.04
2,1,17,100,12.6,28,132,27.93,74.01,1,4,3,0,0,6.59
3,1,27,78,10.62,23,147,33.89,83.75,2,1,0,0,0,7.71
4,1,5,63,7.42,22,158,31.04,80.69,0,0,1,0,0,7.48
5,1,16,74,9.78,40,143,24.85,73.83,2,1,2,0,0,6.31
6,1,20,72,10.0,17,154,22.52,75.28,0,1,3,0,0,6.96
7,1,12,71,9.55,38,166,30.66,68.34,2,2,2,0,0,6.45
8,1,4,70,4.31,4,125,30.55,87.64,1,5,2,0,0,7.09
9,1,18,95,6.58,15,140,26.32,84.06,1,3,1,0,0,5.47
10,1,30,51,7.78,30,154,29.87,76.41,3,1,1,0,0,6.67
11,1,19,72,8.92,36,155,26.9,82.25,1,4,0,0,0,6.42
12,1,10,56,12.1,31,164,32.51,78.62,2,1,1,0,0,6.65
13,1,1,44,10.36,36,167,25.82,81.69,2,5,1,0,0,7.11
14,1,25,63,10.47,53,139,27.62,83.28,2,3,2,0,0,6.47
15,1,23,98,8.35,36,164,26.66,82.75,2,2,1,0,0,6.0
16,1,11,63,5.99,13,131,32.29,82.62,2,1,1,0,0,6.78
17,1,6,48,11.76,26,155,33.12,86.4,1,1,1,0,0,6.43
18,2,25,83,10.12,36,165,33.02,70.48,2,1,1,0,0,7.36
19,2,14,100,10.66,29,148,29.76,83.25,0,4,1,0,0,7.79
20,2,24,84,5.78,29,146,34.71,94.47,1,0,1,0,0,7.07
21,2,7,83,10.72,20,151,30.73,89.61,1,1,1,0,0,6.27
22,2,26,77,8.57,28,139,31.44,84.6,1,4,1,1,1,8.09
23,2,13,68,11.95,24,157,26.76,83.4,0,1,0,0,0,6.84
24,2,23,100,11.08,41,140,29.85,84.71,1,3,0,0,0,7.07
25,2,27,75,9.5,23,149,33.24,75.8,0,2,3,0,0,4.51
26,2,3,74,11.04,21,154,30.45,79.77,1,2,0,0,0,7.17
27,2,28,44,10.38,22,162,29.37,91.48,0,1,2,1,0,6.84
28,2,20,65,6.79,25,145,36.0,73.18,0,0,2,1,0,7.93
29,2,8,100,10.23,40,163,31.1,97.0,2,1,4,1,0,5.83
30,2,15,70,11.47,16,147,36.0,80.0,4,0,2,0,0,5.83
31,2,17,81,9.33,38,156,33.89,80.9,0,2,0,0,0,6.57
32,2,6,56,10.02,27,145,29.29,78.84,2,1,2,0,0,6.4
33,2,19,85,8.92,24,166,34.71,86.57,1,2,0,1,0,6.2
34,3,25,63,13.85,33,146,33.23,84.18,0,2,3,0,0,6.38
35,3,20,68,11.75,53,165,28.69,78.76,1,4,0,1,0,7.73
36,3,1,58,7.8,38,139,30.38,77.03,2,1,0,0,0,5.98
37,3,3,91,6.58,27,142,33.46,80.53,0,4,3,0,0,7.11
